X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.123061523,-0.580134301,9.815573864,-0.02,-0.02,0,31.85337758,1.157278122,0
0.278144392,-0.600260245,9.762754108,-0.04,0.01,0,31.90839124,1.157278122,0
0.351459949,-0.69205786,9.789001426,-0.07,0.01,0,31.96320724,1.157278122,0
0.401712015,-0.66704215,9.862906177,-0.06,0,-0.01,32.01838684,1.157278122,0
0.425815733,-0.468535699,9.937265864,-0.02,-0.01,-0.03,32.06820178,1.157278122,0
0.335389363,-0.358205704,9.94833031,-0.01,-0.02,-0.03,32.13023949,1.157278122,0
0.112076743,-0.525912083,9.906129849,-0.07,0,-0.06,32.18599939,1.157278122,0
-0.115008425,-0.724224117,9.899810461,-0.09,0,-0.07,32.24202609,1.157278122,0
-0.184241595,-0.629303393,9.935659316,-0.03,-0.03,-0.03,32.29751325,1.157278122,0
-0.066544616,-0.382172086,9.909827151,0,-0.04,0.01,32.35335016,1.157278122,0
0.132502314,-0.367125152,9.791118216,-0.06,-0.02,0.01,32.40822101,1.157278122,0
0.303784724,-0.569562355,9.71544401,-0.09,-0.03,0.01,32.46287084,1.157278122,0
0.395363895,-0.617524031,9.799191985,-0.05,-0.02,-0.01,32.51839089,1.157278122,0
0.399748831,-0.429731704,9.916259823,0,-0.02,-0.04,32.57478571,1.157278122,0
0.35617944,-0.334135021,9.874225323,-0.03,-0.02,-0.05,32.62961864,1.157278122,0
0.304094232,-0.509451514,9.757077737,-0.09,0,-0.04,32.68810487,1.157278122,0
0.230466601,-0.751172723,9.758836802,-0.09,0.01,-0.02,32.74218845,1.157278122,0
0.142022787,-0.833536383,9.820338941,-0.04,-0.01,-0.02,32.79704452,1.157278122,0
0.110420919,-0.762420794,9.812898384,-0.04,-0.03,-0.02,32.85339999,1.157278122,0
0.158418302,-0.655792081,9.808006625,-0.06,0,-0.04,32.90936732,1.157278122,0
0.219354175,-0.603817022,9.850098063,-0.07,0.01,-0.03,32.96432471,1.157278122,0
0.258881502,-0.647541962,9.823357703,-0.05,0,0,33.01904488,1.157278122,0
0.298294468,-0.764662652,9.724587892,-0.05,0,0,33.07400417,1.157278122,0
0.310930853,-0.859872668,9.714425682,-0.07,0.01,-0.01,33.1291759,1.157278122,0
0.241968387,-0.825690661,9.822386056,-0.05,0,-0.02,33.18454337,1.157278122,0
0.12344557,-0.658570805,9.882942747,-0.02,-0.02,-0.04,33.24176717,1.157278122,0
0.045271113,-0.502577439,9.820377061,-0.04,-0.02,-0.04,33.2969265,1.157278122,0
0.03299168,-0.512926187,9.772532585,-0.07,-0.01,-0.04,33.35231996,1.157278122,0
0.054738509,-0.670088445,9.828032051,-0.07,0.01,-0.02,33.40863347,1.157278122,0
0.110433283,-0.795508632,9.866864618,-0.04,0,0.01,33.46357179,1.157278122,0
0.216309123,-0.764770629,9.817112438,-0.03,-0.02,0.02,33.5187428,1.157278122,0
0.329990433,-0.640198754,9.799093661,-0.04,0,0,33.57348514,1.157278122,0
0.367376702,-0.559133465,9.859411306,-0.05,-0.01,-0.02,33.6284132,1.157278122,0
0.282974008,-0.557284941,9.882238669,-0.04,-0.02,-0.04,33.68478823,1.157278122,0
0.111862989,-0.57533155,9.853327229,-0.05,-0.02,-0.06,33.74107194,1.157278122,0
-0.041819332,-0.585989047,9.87119495,-0.05,-0.01,-0.05,33.79648685,1.157278122,0
-0.06713793,-0.612207586,9.912941853,-0.04,-0.02,-0.02,33.85230756,1.157278122,0
0.063834352,-0.645562653,9.89120228,-0.04,-0.01,0.01,33.9082942,1.157278122,0
0.26977403,-0.641752064,9.832911929,-0.05,0,0.01,33.96511078,0.861790464,1.157278122
0.430604541,-0.603053175,9.8010245,-0.05,0,0.01,34.02014637,0.861790464,1.157278122
0.469042386,-0.609728353,9.793701547,-0.04,0,-0.02,34.07485962,0.861790464,1.157278122
0.372595591,-0.730143037,9.806501065,-0.05,0,-0.05,34.13125634,0.861790464,1.157278122
0.178267891,-0.898065235,9.850965692,-0.06,0,-0.05,34.18923163,0.861790464,1.157278122
-0.034623423,-0.953190463,9.896790356,-0.05,-0.03,-0.04,34.24141049,0.861790464,1.157278122
-0.159471342,-0.861217019,9.897020602,-0.03,-0.03,-0.03,34.29920602,0.861790464,1.157278122
-0.127685108,-0.786223183,9.864119901,-0.05,-0.02,-0.02,34.35433888,0.861790464,1.157278122
0.030844116,-0.84964086,9.848723781,-0.06,0,0,34.41028428,0.861790464,1.157278122
0.228191224,-0.952000651,9.848536682,-0.07,0,0.01,34.46526766,0.861790464,1.157278122
0.393826248,-0.949275065,9.821723754,-0.05,-0.01,0.01,34.52017212,0.861790464,1.157278122
0.468061212,-0.87153981,9.788506022,-0.04,-0.01,0,34.57524657,0.861790464,1.157278122
0.398813161,-0.838958498,9.803696015,-0.05,-0.01,-0.03,34.63140059,0.861790464,1.157278122
0.224127489,-0.861356739,9.84626857,-0.05,-0.01,-0.05,34.68961954,0.861790464,1.157278122
0.077231482,-0.856903509,9.867077044,-0.05,-0.02,-0.05,34.74423528,0.861790464,1.157278122
0.042581575,-0.817282462,9.877232355,-0.04,-0.02,-0.04,34.80014396,0.861790464,1.157278122
0.091193121,-0.822584033,9.881274447,-0.04,-0.01,-0.01,34.85769463,0.861790464,1.157278122
0.176673754,-0.902236477,9.850458799,-0.07,-0.01,0.01,34.91221452,0.861790464,1.157278122
0.276866219,-0.980081396,9.80836999,-0.06,0,0,34.9674356,0.861790464,1.157278122
0.342544812,-0.974130532,9.802942748,-0.05,-0.02,0,35.02309251,0.861790464,1.157278122
0.324033188,-0.904286365,9.823573478,-0.04,-0.02,-0.02,35.07755327,0.861790464,1.157278122
0.242567705,-0.865378238,9.838800458,-0.05,-0.02,-0.04,35.13351774,0.861790464,1.157278122
0.165083371,-0.895403053,9.843375125,-0.07,-0.02,-0.04,35.19003296,0.861790464,1.157278122
0.131041341,-0.933524926,9.839186549,-0.06,-0.02,-0.02,35.24537158,0.861790464,1.157278122
0.139501702,-0.934377767,9.829589929,-0.05,-0.02,-0.02,35.30131602,0.861790464,1.157278122
0.184603417,-0.930050454,9.824060448,-0.05,-0.01,-0.01,35.35733032,0.861790464,1.157278122
0.258012747,-0.944287846,9.82333543,-0.06,-0.01,-0.01,35.41345024,0.861790464,1.157278122
0.311577655,-0.957046368,9.815885424,-0.07,-0.01,-0.02,35.4693284,0.861790464,1.157278122
